datetime,weight,failure,cycle_time,mold_open_position,mold_time,hold_position,cushion_position,feeding_time,feeding_position,nozzle_temperature,front_temperature,intermediate_temperature,rear_temperature,hopper_temperature,set_nozzle_temperature,set_front_temperature,set_intermediate_temperature,set_rear_temperature,set_mold_velocity_1,set_mold_velocity_2,set_mold_velocity_3,set_mold_velocity_4,set_mold_velocity_5,set_mold_pressure_1,set_mold_pressure_2,set_mold_pressure_3,set_mold_pressure_4,set_mold_pressure_5,set_mold_position_1,set_mold_position_2,set_mold_position_3,set_mold_position_4,set_mold_position_5,set_mold_time_1,set_mold_time_2,set_mold_time_3,set_mold_time_4,set_mold_time_5,set_hold_velocity_1,set_hold_velocity_2,set_hold_velocity_3,set_hold_pressure_1,set_hold_pressure_2,set_hold_pressure_3,set_hold_time_1,set_hold_time_2,set_hold_time_3,set_feed_velocity_1,set_feed_velocity_2,set_feed_velocity_3,set_feed_velocity_4,set_feed_velocity_5,set_feed_pressure_1,set_feed_pressure_2,set_feed_pressure_3,set_feed_pressure_4,set_feed_pressure_5,set_feed_position_1,set_feed_position_2,set_feed_position_3,set_feed_position_4,set_feed_position_5,set_cooling_time,mold_name
2021.11.30 13:41,172,1,28.7,351.1,6,29.9,32.1,18.2,95.1,289,258,258,250,26,290,260,260,250,60,60,60,55,50,85,80,60,70,60,85,50,40,35,30,3,3,2,2,2,20,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:42,177,1,42.1,351.9,6.5,30.9,33.1,17.8,95,289,258,258,249,26,290,260,260,250,60,60,60,55,50,85,80,60,70,60,85,50,40,35,30,3,3,2,2,2,20,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:43,204,1,41.6,351.5,5.2,19.8,20.8,12,95,290,258,258,247,26,290,260,260,250,60,60,60,55,50,85,80,60,70,60,85,50,30,25,20,3,3,2,2,2,20,0,0,30,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:44,199,1,34.5,350.7,6.6,20.9,21,8.5,95.1,290,258,258,247,26,290,260,260,250,60,60,60,55,50,85,80,60,70,60,85,50,30,25,20,3,3,2,2,2,20,0,0,50,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:46,227,1,32.4,351.3,3.4,19.9,9.6,10.3,95,290,262,260,249,26,290,260,260,250,80,90,90,85,60,90,100,100,80,70,85,50,30,25,20,3,3,2,2,2,20,0,0,50,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:47,239,1,31,350.8,3.7,14.8,7.3,9.6,95.2,290,261,260,249,26,290,260,260,250,80,90,90,85,60,90,100,100,80,70,85,40,25,20,15,3,3,2,2,2,20,0,0,50,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:49,255,0,30.4,351.8,3.6,14.9,1.9,8.8,95.4,289,259,259,250,26,290,260,260,250,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:49,258,0,29.4,351.5,3.8,14.9,5.5,7.6,95,290,260,260,250,26,290,260,260,250,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 13:50,257,0,28.4,352.7,3.9,14.7,7.2,7.5,95.1,290,259,260,250,26,290,260,260,250,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:23,253,0,28.4,351.3,3.8,14.6,7.5,7.5,95.3,289,241,239,235,26,290,240,240,235,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:24,249,1,28.7,351.1,4.9,14.8,13.4,7.2,95,289,240,240,235,26,290,240,240,235,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:24,243,1,29.1,352,7,18,18.5,6.8,95.2,288,239,240,235,26,290,240,240,235,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:32,246,1,31,352.3,4.1,14.9,9.9,8.2,95.2,292,254,253,246,26,290,250,250,245,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:33,255,0,29.4,351.1,4.2,14.8,10.2,7.3,95.1,291,253,253,247,26,290,250,250,245,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:33,256,0,28.6,351.7,4.2,14.9,10.5,7.4,95.1,290,252,253,247,26,290,250,250,245,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:34,252,0,28.6,352.7,4.6,14.9,11.5,7.3,95,290,252,253,246,26,290,250,250,245,80,90,90,85,60,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,20,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:46,259,0,28.9,352.4,3.6,14.6,5.2,7.4,95,289,261,262,252,26,290,260,260,250,70,80,80,75,50,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,15,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:47,262,0,28.1,351.8,3.8,14.9,8.5,7.1,95,290,260,261,253,26,290,260,260,250,70,80,80,75,50,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,15,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:48,260,0,28,350.2,3.9,14.7,9,7.1,95.1,290,260,261,253,26,290,260,260,250,70,80,80,75,50,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,15,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:49,259,0,28,351.9,4.1,14.9,9.6,7.2,95.1,290,262,261,253,26,290,260,260,250,60,70,70,65,40,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,15,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
2021.11.30 14:49,257,0,28.3,351.7,4.1,14.9,9.9,7.2,95.1,290,262,261,252,26,290,260,260,250,60,70,70,65,40,100,100,100,90,80,85,40,25,20,15,3,3,2,2,2,15,0,0,70,0,0,2,0,0,55,55,55,55,55,100,100,100,100,100,10,30,50,80,95,10,ELPCB-8   
